pct,month,total_list_size
112,2015-08-01 00:00:00+00:00,721
00K,2015-08-01 00:00:00+00:00,293469
02W,2015-08-01 00:00:00+00:00,121697
RY6,2015-08-01 00:00:00+00:00,1249
09A,2015-08-01 00:00:00+00:00,209455
11H,2015-08-01 00:00:00+00:00,493863
07V,2015-08-01 00:00:00+00:00,398389
01C,2015-08-01 00:00:00+00:00,205819
01J,2015-08-01 00:00:00+00:00,162256
02T,2015-08-01 00:00:00+00:00,217665
08Y,2015-08-01 00:00:00+00:00,243500
07R,2015-08-01 00:00:00+00:00,258297
08M,2015-08-01 00:00:00+00:00,367759
Q59,2015-08-01 00:00:00+00:00,58
08L,2015-08-01 00:00:00+00:00,310456
02R,2015-08-01 00:00:00+00:00,338824
09H,2015-08-01 00:00:00+00:00,130302
11M,2015-08-01 00:00:00+00:00,634027
02Y,2015-08-01 00:00:00+00:00,301127
03N,2015-08-01 00:00:00+00:00,584291
06H,2015-08-01 00:00:00+00:00,918196
09L,2015-08-01 00:00:00+00:00,178802
01A,2015-08-01 00:00:00+00:00,373571
05R,2015-08-01 00:00:00+00:00,276466
01X,2015-08-01 00:00:00+00:00,195048
04C,2015-08-01 00:00:00+00:00,384186
05A,2015-08-01 00:00:00+00:00,484011
06W,2015-08-01 00:00:00+00:00,214846
07M,2015-08-01 00:00:00+00:00,399645
04G,2015-08-01 00:00:00+00:00,657014
00D,2015-08-01 00:00:00+00:00,287731
99P,2015-08-01 00:00:00+00:00,899281
05L,2015-08-01 00:00:00+00:00,557378
13P,2015-08-01 00:00:00+00:00,715668
99K,2015-08-01 00:00:00+00:00,168512
08T,2015-08-01 00:00:00+00:00,189903
00V,2015-08-01 00:00:00+00:00,199072
12F,2015-08-01 00:00:00+00:00,333839
00M,2015-08-01 00:00:00+00:00,291689
03C,2015-08-01 00:00:00+00:00,365269
07K,2015-08-01 00:00:00+00:00,244333
06N,2015-08-01 00:00:00+00:00,628819
06T,2015-08-01 00:00:00+00:00,337806
10X,2015-08-01 00:00:00+00:00,270333
10Q,2015-08-01 00:00:00+00:00,711044
99Q,2015-08-01 00:00:00+00:00,285735
05T,2015-08-01 00:00:00+00:00,299590
00W,2015-08-01 00:00:00+00:00,220820
06K,2015-08-01 00:00:00+00:00,584184
02X,2015-08-01 00:00:00+00:00,313369
08E,2015-08-01 00:00:00+00:00,257705
99N,2015-08-01 00:00:00+00:00,484842
10J,2015-08-01 00:00:00+00:00,220859
03A,2015-08-01 00:00:00+00:00,243690
01H,2015-08-01 00:00:00+00:00,521971
04D,2015-08-01 00:00:00+00:00,232487
09E,2015-08-01 00:00:00+00:00,215881
04L,2015-08-01 00:00:00+00:00,149880
06L,2015-08-01 00:00:00+00:00,398237
99D,2015-08-01 00:00:00+00:00,162664
11E,2015-08-01 00:00:00+00:00,202675
00Q,2015-08-01 00:00:00+00:00,170843
07P,2015-08-01 00:00:00+00:00,367886
11T,2015-08-01 00:00:00+00:00,215671
11X,2015-08-01 00:00:00+00:00,559222
04K,2015-08-01 00:00:00+00:00,356326
99C,2015-08-01 00:00:00+00:00,216387
06M,2015-08-01 00:00:00+00:00,236018
01D,2015-08-01 00:00:00+00:00,226898
09W,2015-08-01 00:00:00+00:00,293415
09Y,2015-08-01 00:00:00+00:00,363976
02E,2015-08-01 00:00:00+00:00,214025
07W,2015-08-01 00:00:00+00:00,424476
07J,2015-08-01 00:00:00+00:00,171125
02G,2015-08-01 00:00:00+00:00,112007
00J,2015-08-01 00:00:00+00:00,251899
09G,2015-08-01 00:00:00+00:00,501948
00T,2015-08-01 00:00:00+00:00,301104
11N,2015-08-01 00:00:00+00:00,556905
06P,2015-08-01 00:00:00+00:00,225698
10E,2015-08-01 00:00:00+00:00,143046
08P,2015-08-01 00:00:00+00:00,208447
05D,2015-08-01 00:00:00+00:00,137959
02D,2015-08-01 00:00:00+00:00,103382
00P,2015-08-01 00:00:00+00:00,285475
03X,2015-08-01 00:00:00+00:00,97335
04V,2015-08-01 00:00:00+00:00,376428
08G,2015-08-01 00:00:00+00:00,302226
09X,2015-08-01 00:00:00+00:00,232834
05H,2015-08-01 00:00:00+00:00,185965
03M,2015-08-01 00:00:00+00:00,118858
04J,2015-08-01 00:00:00+00:00,290740
04R,2015-08-01 00:00:00+00:00,541722
08N,2015-08-01 00:00:00+00:00,298459
05P,2015-08-01 00:00:00+00:00,242159
02A,2015-08-01 00:00:00+00:00,238576
02H,2015-08-01 00:00:00+00:00,323073
03F,2015-08-01 00:00:00+00:00,290934
13T,2015-08-01 00:00:00+00:00,506802
06F,2015-08-01 00:00:00+00:00,460862
08K,2015-08-01 00:00:00+00:00,379966
10R,2015-08-01 00:00:00+00:00,218813
03Y,2015-08-01 00:00:00+00:00,102395
11J,2015-08-01 00:00:00+00:00,783006
11C,2015-08-01 00:00:00+00:00,151907
03W,2015-08-01 00:00:00+00:00,323145
00Y,2015-08-01 00:00:00+00:00,246928
